DATE,Value
9/1/2018,3.09
9/3/2018,9.81
9/10/2018,11.21
9/17/2018,8.97
9/24/2018,13.25
10/1/2018,11.23
10/8/2018,9.87
10/15/2018,12.67
10/22/2018,8.90
10/29/2018,5.83
11/1/2018,5.45
11/5/2018,12.33
11/12/2018,11.27
11/19/2018,10.25
11/26/2018,9.02
12/1/2018,3.06
12/3/2018,11.25
12/10/2018,12.95
12/17/2018,8.45
12/24/2018,9.53
12/31/2018,2.20
1/1/2019,9.46
1/7/2019,10.07
1/14/2019,14.25
1/21/2019,9.21
1/28/2019,5.69
2/1/2019,5.36
2/4/2019,12.58
2/11/2019,7.58
2/18/2019,7.56
2/25/2019,8.58
3/1/2019,17.85
3/4/2019,41.80
3/11/2019,43.70
3/18/2019,41.13
3/25/2019,40.02
4/1/2019,43.65
4/8/2019,45.65
4/15/2019,38.97
4/22/2019,44.89
4/29/2019,14.09
5/1/2019,30.34
5/6/2019,40.79
5/13/2019,43.90
5/20/2019,45.80
5/27/2019,24.23
6/1/2019,5.43
6/3/2019,20.34
6/10/2019,21.67
6/17/2019,26.59
6/24/2019,24.89
7/1/2019,15.89
7/8/2019,14.98
7/15/2019,19.23
7/22/2019,20.54
7/29/2019,6.46
8/1/2019,10.50
8/5/2019,17.23
8/12/2019,17.01
8/19/2019,19.89
8/26/2019,15.01
9/1/2019,2.50
9/2/2019,17.01
9/9/2019,16.89
9/16/2019,15.90
9/23/2019,19.78
9/30/2019,3.01
10/1/2019,16.23
10/7/2019,19.34
10/14/2019,16.95
10/21/2019,16.87
10/28/2019,9.45
11/1/2019,6.90
11/4/2019,15.67
11/11/2019,16.90
11/18/2019,20.67
11/25/2019,18.02
12/1/2019,2.42
12/2/2019,16.80
12/9/2019,15.30
12/16/2019,14.98
12/23/2019,18.01
12/30/2019,5.89
1/1/2020,12.89
1/6/2020,18.12
1/13/2020,19.58
1/20/2020,17.76
1/27/2020,11.56
2/1/2020,7.12
2/3/2020,22.01
2/10/2020,21.65
2/17/2020,26.89
2/24/2020,23.76
3/1/2020,15.84
3/2/2020,109.87
3/9/2020,109.20
3/16/2020,113.63
3/23/2020,112.89
3/30/2020,29.65
4/1/2020,90.24
4/6/2020,120.56
4/13/2020,117.76
4/20/2020,128.67
4/27/2020,73.21
5/1/2020,54.90
5/4/2020,130.76
5/11/2020,131.90
5/18/2020,132.87
5/25/2020,129.70
6/1/2020,95.89
6/8/2020,115.89
6/15/2020,113.52
6/22/2020,129.78
6/29/2020,32.49
7/1/2020,45.89
7/6/2020,63.29
7/13/2020,61.89
7/20/2020,57.09
7/27/2020,41.87
8/1/2020,5.27
8/3/2020,18.89
8/10/2020,21.45
8/17/2020,16.78
8/24/2020,15.90
8/31/2020,1.85
9/1/2020,10.23
9/7/2020,9.87
9/14/2020,20.38
9/21/2020,21.23
9/28/2020,8.97
10/1/2020,8.65
10/5/2020,14.67
10/12/2020,15.89
10/19/2020,18.67
10/26/2020,15.90
11/1/2020,1.89
11/2/2020,15.89
11/9/2020,16.98
11/16/2020,18.83
11/23/2020,20.41
11/30/2020,3.56
12/1/2020,14.67
12/7/2020,16.89
12/14/2020,13.58
12/21/2020,16.21
12/28/2020,8.07
1/1/2021,7.94
1/4/2021,19.76
1/11/2021,19.73
1/18/2021,15.78
1/25/2021,17.01
2/1/2021,32.78
2/8/2021,30.58
2/15/2021,30.23
2/22/2021,28.96
3/1/2021,131.76
3/8/2021,128.87
3/15/2021,123.89
3/22/2021,122.76
3/29/2021,56.87
4/1/2021,73.18
4/5/2021,127.34
4/12/2021,125.89
4/19/2021,126.89
4/26/2021,88.21
5/1/2021,42.56
5/3/2021,153.87
5/10/2021,154.89
5/17/2021,150.65
5/24/2021,151.87
5/31/2021,20.54
