DATE,Value
9/1/2018,46.33
10/1/2018,48.5
11/1/2018,48.3
12/1/2018,47.4
1/1/2019,48.7
2/1/2019,41.6
3/1/2019,184.5
4/1/2019,187.1
5/1/2019,185
6/1/2019,98.9
7/1/2019,77.1
8/1/2019,79.6
9/1/2019,75.2
10/1/2019,78.77
11/1/2019,78.13
12/1/2019,73.6
1/1/2020,79.9
2/1/2020,101.8
3/1/2020,490.9
4/1/2020,530.55
5/1/2020,580.32
6/1/2020,487.4
7/1/2020,270.2
8/1/2020,80.2
9/1/2020,70.7
10/1/2020,73.6
11/1/2020,77.5
12/1/2020,69.9
1/1/2021,80.18
2/1/2021,122.32
3/1/2021,564.14
4/1/2021,541.48
5/1/2021,674.32
