DATE,Value
5/1/2018,575.6
6/1/2018,668.8
7/1/2018,614.3
8/1/2018,550
9/1/2018,634.3
10/1/2018,713.3
11/1/2018,655.1
12/1/2018,489.3
1/1/2019,1731
2/1/2019,1907.5
3/1/2019,3848.3
4/1/2019,3783.5
5/1/2019,4499.4
6/1/2019,2704.05
7/1/2019,2567.31
8/1/2019,1550.94
9/1/2019,2319.43
10/1/2019,3129.27
11/1/2019,2703.2
12/1/2019,1617.3
1/1/2020,2183.64
2/1/2020,3029.73
3/1/2020,5411.395
4/1/2020,5454.3
5/1/2020,6998.1
6/1/2020,3041.4
7/1/2020,3067.8
8/1/2020,2176.9
9/1/2020,2836.75
10/1/2020,3231.24
11/1/2020,2442.188
12/1/2020,1860.25
1/1/2021,2379.59
2/1/2021,3250.5
3/1/2021,5430.28
4/1/2021,4729.66
5/1/2021,5299.2
